MTS793|BTW|ENU|1|2|.|/|:|1|0|1|A

Data Header:						Time:	483.93555	s	9/20/2023 16:35:55
Data Acquisition:	Timed
Station Name:	319.25 w ext_strain.cfg
Test File Name:	Untitled test
Axial Displacement	Axial Force	Axial Strain	Time
mm	kN	%	s
0.29175282	22.72576	0.13620141	5.7373047
0.29472709	22.859108	0.13720477	5.7871094
0.29828548	22.972944	0.1376112	5.8369141
0.30046999	23.102001	0.139107	5.8867188
0.30190945	23.190577	0.13921137	5.9365234
0.30402839	23.328526	0.14007503	5.9863281
0.30722916	23.440435	0.14124425	6.0361328
0.31001568	23.45422	0.14107348	6.0859375
0.31242669	23.630541	0.14231527	6.1357422
0.31456947	23.720633	0.14253832	6.1855469
0.31695366	23.868332	0.14336079	6.2353516
0.3198266	23.940895	0.14396076	6.2851563
0.3223151	24.029694	0.14465514	6.3349609
0.32408834	24.078035	0.14453615	6.3847656
0.32781959	24.218567	0.14655103	6.4345703
0.32962561	24.283161	0.1462975	6.484375
0.33135414	24.391888	0.14689951	6.5341797
0.33405721	24.484657	0.14820877	6.5839844
0.33730567	24.637148	0.14850962	6.6337891
0.33880472	24.602333	0.14910775	6.6835938
0.34258366	24.8148	0.15012039	6.7333984
0.34450293	24.900078	0.15080233	6.7832031
0.34665763	24.96357	0.15108538	6.8330078
0.34962893	25.099773	0.15206522	6.8828125
0.35202205	25.201132	0.15258008	6.9326172
0.35404563	25.287571	0.15337704	6.9824219
0.35713613	25.417946	0.15333085	7.0322266
0.35966039	25.492554	0.15464291	7.0820313
0.36098659	25.55781	0.15409008	7.1318359
0.36574006	25.629913	0.15530057	7.1816406
0.36650002	25.719982	0.15601183	7.2314453
0.36757588	25.802315	0.15586878	7.28125
0.37223399	25.886696	0.156323	7.3310547
0.37427843	26.023373	0.15819314	7.3808594
0.37628412	26.04595	0.15802789	7.4306641
0.37840307	26.151358	0.15887047	7.4804688
0.38172901	26.302034	0.15998092	7.5302734
0.38353503	26.294317	0.16020101	7.5800781
0.38555562	26.44228	0.16093941	7.6298828
0.38881302	26.570517	0.16204366	7.6796875
0.39124787	26.677694	0.16242386	7.7294922
0.39413571	26.75901	0.16248517	7.7792969
0.39646327	26.768902	0.16353735	7.8291016
0.39956868	26.864321	0.16384636	7.8789063
0.40159225	27.01256	0.16472027	7.9287109
0.40448308	27.052763	0.16465846	7.9785156
0.40723979	27.154619	0.16568476	8.0283203
0.40941834	27.211258	0.16633232	8.078125
0.4124254	27.27392	0.16610545	8.1279297
0.41427314	27.398018	0.16699776	8.1777344
0.41571259	27.428329	0.16702062	8.2275391
0.42009354	27.520828	0.16728301	8.2773438
0.42295456	27.626553	0.16871342	8.3271484
0.4245609	27.752274	0.16917866	8.3769531
0.42634308	27.810392	0.16936195	8.4267578
0.42875409	27.906427	0.17015624	8.4765625
0.431633	27.960077	0.16975123	8.5263672
0.43443739	28.028402	0.17025279	8.5761719
0.43622851	28.157179	0.17190893	8.6259766
0.43877959	28.228956	0.17192408	8.6757813
0.4414171	28.304285	0.1723659	8.7255859
0.44409335	28.381557	0.1732537	8.7753906
0.44758022	28.500023	0.17404261	8.8251953
0.44898093	28.467981	0.17323393	8.875
0.45302212	28.64992	0.17514189	8.9248047
0.45411587	28.719654	0.17536658	8.9746094
0.45640767	28.731604	0.17517205	9.0244141
0.45785308	28.860519	0.17560859	9.0742188
0.46249032	28.556366	0.18909922	9.1240234
0.46631992	27.404251	0.23035862	9.1738281
0.46718121	26.472502	0.2662971	9.2236328
0.4701376	25.857874	0.29430386	9.2734375
0.4732877	25.509029	0.31423742	9.3232422
0.47452748	25.270348	0.32994372	9.3730469
0.47679543	25.121725	0.34362566	9.4228516
0.47871172	25.021624	0.35532838	9.4726563
0.48144162	24.923243	0.36661574	9.5224609
0.48485696	24.838926	0.37687165	9.5722656
0.48539639	24.748465	0.38642436	9.6220703
0.49005747	24.820625	0.39763594	9.671875
0.49237609	24.749376	0.40692934	9.7216797
0.49415827	24.669794	0.4161121	9.7714844
0.49743354	24.67767	0.42515862	9.8212891
0.49861073	24.675003	0.43412539	9.8710938
0.50077438	24.651098	0.44329301	9.9208984
0.50404966	24.635485	0.45205319	9.9707031
0.50593913	24.655672	0.46079549	10.020508
0.50832331	24.601721	0.4701618	10.070313
0.51238537	24.616457	0.47908467	10.120117
0.51562488	24.612814	0.48759389	10.169922
0.51645637	24.576859	0.4964917	10.219727
0.51900148	24.577555	0.50464642	10.269531
0.52194297	24.555984	0.51400346	10.319336
0.52446127	24.56922	0.52393669	10.369141
0.52697659	24.561274	0.53257984	10.418945
0.52935779	24.509684	0.5407145	10.46875
0.53153932	24.492514	0.54902345	10.518555
0.53450763	24.559217	0.55731291	10.568359
0.53633451	24.520828	0.56598276	10.618164
0.53840578	24.545053	0.57400739	10.667969
0.54114163	24.501938	0.58171719	10.717773
0.54369271	24.555038	0.58991683	10.767578
0.54621994	24.571056	0.5987981	10.817383
0.54877996	24.581144	0.60708535	10.867188
0.55067837	24.55435	0.614604	10.916992
0.55500865	24.556646	0.62322658	10.966797
0.5558759	24.521208	0.63041818	11.016602
0.55874288	24.551884	0.63830113	11.066406
0.5605638	24.543388	0.64648813	11.116211
0.56273341	24.531769	0.65401357	11.166016
0.56653321	24.587061	0.66201961	11.21582
0.56854188	24.535093	0.66989559	11.265625
0.57065785	24.574799	0.6776371	11.31543
0.5720228	24.602734	0.68553197	11.365234
0.57522953	24.575779	0.69298917	11.415039
0.57859123	24.625986	0.70208544	11.464844
0.58033764	24.628345	0.70908737	11.514648
0.58310628	24.603691	0.71753615	11.564453
0.58758855	24.655661	0.72615558	11.614258
0.58946311	24.640583	0.73351014	11.664063
0.59061944	24.597767	0.74117714	11.713867
0.59253275	24.614973	0.74880964	11.763672
0.59539974	24.632174	0.75691193	11.813477
0.59736669	24.699224	0.76500612	11.863281
0.60182214	24.667654	0.77354693	11.913086
0.60375035	24.61331	0.7810865	11.962891
0.60621202	24.650356	0.7891289	12.012695
0.60836673	24.612936	0.79782039	12.0625
0.61196983	24.626026	0.80653888	12.112305
0.61348081	24.586845	0.81464744	12.162109
