MTS793|BTW|ENU|1|2|.|/|:|1|0|1|A

Data Header:						Time:	575.40137	s	9/20/2023 16:12:14
Data Acquisition:	Timed
Station Name:	319.25 w ext_strain.cfg
Test File Name:	Untitled test
Axial Displacement	Axial Force	Axial Strain	Time
mm	kN	%	s
0.014841557	0.012686476	-0.0013461802	0.0625
0.016927719	0.25544012	0.00043096952	0.11230469
0.018927455	0.5915584	0.0021709129	0.16210938
0.021541119	0.89269292	0.0046578469	0.21191406
0.024983287	1.170231	0.0062452862	0.26171875
0.027781725	1.4553226	0.0072976807	0.31152344
0.029954314	1.7075075	0.0094111077	0.36132813
0.031790137	1.9879618	0.01094765	0.41113281
0.033843517	2.2528374	0.01205795	0.4609375
0.036144257	2.5925086	0.014762697	0.51074219
0.040143728	2.8448851	0.016501289	0.56054688
0.04170537	3.0969603	0.017893665	0.61035156
0.045061111	3.386956	0.019019423	0.66015625
0.046390295	3.6650684	0.020847306	0.70996094
0.049957633	3.9380372	0.022993073	0.75976563
0.053063035	4.2292829	0.024831016	0.80957031
0.054818392	4.4196892	0.025520707	0.859375
0.057339668	4.6727128	0.02702754	0.90917969
0.060981512	4.9302845	0.028847881	0.95898438
0.060662627	5.1735158	0.030287914	1.0087891
0.063040853	5.4094357	0.031949021	1.0585938
0.066804886	5.7261515	0.033922192	1.1083984
0.068363547	5.998683	0.035556708	1.1582031
0.072363019	6.1909037	0.035985466	1.2080078
0.073349476	6.4536624	0.037318468	1.2578125
0.075951219	6.6873713	0.039415993	1.3076172
0.078317523	6.935008	0.040527526	1.3574219
0.081804395	7.2387257	0.042306934	1.4072266
0.08495152	7.494977	0.044762343	1.4570313
0.087296963	7.8044267	0.04614957	1.5068359
0.090658665	8.0981369	0.048388053	1.5566406
0.093367696	8.3520126	0.049916074	1.6064453
0.096195936	8.6218901	0.051271822	1.65625
0.098127127	8.8874779	0.052714907	1.7060547
0.1011461	9.1476889	0.054656807	1.7558594
0.10127127	9.3758621	0.056315493	1.8056641
0.10460317	9.6366329	0.057658598	1.8554688
0.10736883	9.8859282	0.059554283	1.9052734
0.1093477	10.126937	0.06043103	1.9550781
0.11270046	10.396143	0.062708065	2.0048828
0.11503696	10.616766	0.063434549	2.0546875
0.11835396	10.874221	0.064951308	2.1044922
0.12005568	11.121281	0.066087417	2.1542969
0.1229763	11.33025	0.067383841	2.2041016
0.12535751	11.568902	0.068862379	2.2539063
0.12683868	11.790277	0.070552729	2.3037109
0.13076365	12.052744	0.07164222	2.3535156
0.13141632	12.288613	0.073686868	2.4033203
0.13500154	12.515198	0.074920118	2.453125
0.1380235	12.747831	0.076615125	2.5029297
0.14095306	12.987827	0.077776179	2.5527344
0.14200807	13.208827	0.079661004	2.6025391
0.14492571	13.440511	0.080346234	2.6523438
0.14741421	13.705708	0.082187846	2.7021484
