MTS793|BTW|ENU|1|2|.|/|:|1|0|1|A

Data Header:						Time:	353.10352	s	9/20/2023 17:09:09
Data Acquisition:	Timed
Station Name:	319.25 w ext_strain.cfg
Test File Name:	Untitled test
Axial Displacement	Axial Force	Axial Strain	Time
mm	kN	%	s
0.0020027161	-0.0079260208	0.0014240763	0.059570313
0.0039726496	0.29651156	0.0027744654	0.109375
0.0061988831	0.55956769	0.004913406	0.15917969
0.0078529119	0.80645967	0.006217944	0.20898438
0.011384487	1.1086836	0.0084655145	0.25878906
0.013998151	1.3773679	0.0095024565	0.30859375
0.015822053	1.6190891	0.0107224	0.35839844
0.01898706	1.9291664	0.012873088	0.40820313
0.019991398	2.1747034	0.014608825	0.45800781
0.024586916	2.4928975	0.016165281	0.5078125
0.026679039	2.7538638	0.017578637	0.55761719
0.028005242	2.9895005	0.019457875	0.60742188
0.031784177	3.2566729	0.021050552	0.65722656
0.034242868	3.5927293	0.022791637	0.70703125
0.036838651	3.8276546	0.024614375	0.75683594
0.038453937	4.0286884	0.025341358	0.80664063
0.040900707	4.2770004	0.02683446	0.85644531
0.043430924	4.4972739	0.028394185	0.90625
0.044730306	4.7119937	0.030113442	0.95605469
0.047335029	4.9645052	0.03127379	1.0058594
0.048580766	5.2238235	0.033338003	1.0556641
0.052973628	5.4215846	0.033888426	1.1054688
0.054514408	5.6325297	0.035303321	1.1552734
0.056809187	5.9077005	0.036891799	1.2050781
0.060397387	6.2421303	0.038946532	1.2548828
0.063422322	6.530406	0.041539054	1.3046875
0.066632032	6.9316573	0.042877272	1.3544922
0.068232417	7.1287141	0.044477899	1.4042969
0.073453784	7.5037489	0.046827283	1.4541016
0.074666739	7.7004657	0.048071038	1.5039063
0.077092648	7.9300919	0.049646344	1.5537109
0.080049038	8.2106562	0.051344167	1.6035156
0.081634521	8.4665089	0.052435294	1.6533203
0.084939599	8.7199774	0.054541025	1.703125
0.086799264	8.9683771	0.056074619	1.7529297
0.090333819	9.1846704	0.057511024	1.8027344
0.091454387	9.4184427	0.058782369	1.8525391
0.095686316	9.6656084	0.060713384	1.9023438
0.096562505	9.9105959	0.061009057	1.9521484
0.099387765	10.172929	0.063680731	2.0019531
0.10207295	10.404027	0.064543419	2.0517578
0.10315776	10.613087	0.066031702	2.1015625
0.10586381	10.840829	0.06674885	2.1513672
0.10872483	11.097779	0.06914708	2.2011719
0.11145473	11.35294	0.070227802	2.2509766
0.11358261	11.618169	0.071951322	2.3007813
0.11671782	11.812274	0.073119529	2.3505859
0.11951029	12.090435	0.07453312	2.4003906
0.12122095	12.265326	0.0761289	2.4501953
0.12362897	12.551602	0.077002831	2.5
0.12630522	12.782757	0.079212695	2.5498047
0.12916625	13.007215	0.079894505	2.5996094
0.13036132	13.190581	0.0818367	2.6494141
0.13479888	13.482123	0.083738379	2.6992188
0.13745725	13.733594	0.085450105	2.7490234
0.14003515	13.996343	0.086949222	2.7988281
0.14255047	14.184291	0.087834865	2.8486328
0.14442503	14.465844	0.089444481	2.8984375
0.14721751	14.626378	0.090605266	2.9482422
0.14971495	14.874451	0.091886543	2.9980469
0.15171468	15.121307	0.093744546	3.0478516
0.15498996	15.323252	0.094874837	3.0976563
0.15836656	15.555177	0.096113965	3.1474609
0.15949905	15.823444	0.098120704	3.1972656
0.16205907	15.979996	0.098779753	3.2470703
0.1647681	16.162918	0.099869527	3.296875
0.1665473	16.434652	0.10172486	3.3466797
0.17052293	16.595587	0.10291507	3.3964844
0.17294884	16.852108	0.10420674	3.4462891
0.174281	17.009747	0.10591813	3.4960938
0.17612576	17.223124	0.10623319	3.5458984
0.1798898	17.464565	0.10844355	3.5957031
0.1825422	17.699209	0.10980829	3.6455078
0.18376112	17.81638	0.11075822	3.6953125
0.18725097	18.042788	0.11172611	3.7451172
0.19001067	18.247278	0.11288209	3.7949219
0.19069016	18.44396	0.11417961	3.8447266
0.19420385	18.630781	0.11568932	3.8945313
0.19687414	18.810585	0.11645129	3.9443359
0.19984245	18.986052	0.11739824	3.9941406
0.20282567	19.241966	0.11953119	4.0439453
0.20345747	19.358831	0.11980958	4.09375
0.20730495	19.581003	0.12149557	4.1435547
0.20977557	19.787003	0.12277423	4.1933594
0.21243989	19.960438	0.12384208	4.2431641
0.21347404	20.070101	0.12478831	4.2929688
0.21680295	20.286594	0.12563735	4.3427734
0.22050142	20.487886	0.12770602	4.3925781
0.2222985	20.643484	0.1272247	4.4423828
0.22420287	20.815823	0.12930875	4.4921875
0.22755861	20.952456	0.13005094	4.5419922
0.22875965	21.182632	0.13158301	4.5917969
0.2319783	21.283525	0.13235602	4.6416016
0.2343446	21.484404	0.13334714	4.6914063
0.23591518	21.633492	0.13372783	4.7412109
0.24080575	21.821238	0.13510305	4.7910156
0.2417326	21.941553	0.13592467	4.8408203
0.24362206	22.12533	0.13757226	4.890625
0.24687648	22.292135	0.13862722	4.9404297
0.25073588	22.47879	0.13934718	4.9902344
0.25123954	22.593855	0.13998395	5.0400391
0.25371015	22.789198	0.1416917	5.0898438
0.25584102	22.94112	0.14262217	5.1396484
0.25838017	23.092121	0.14317171	5.1894531
0.26110113	23.305159	0.14480512	5.2392578
0.26448071	23.461149	0.14547695	5.2890625
0.26668012	23.616095	0.14631844	5.3388672
0.26727021	23.770363	0.14688258	5.3886719
0.27130842	23.916069	0.14833389	5.4384766
0.27376115	24.06905	0.14944893	5.4882813
0.27557909	24.182009	0.14986223	5.5380859
0.27800202	24.337341	0.15154339	5.5878906
0.28102696	24.465599	0.15216678	5.6376953
0.2846092	24.606441	0.15280434	5.6875
0.28597116	24.777361	0.15393317	5.7373047
0.28944314	24.92713	0.15549305	5.7871094
0.29175282	25.082937	0.15588033	5.8369141
0.29435158	25.233049	0.15677598	5.8867188
0.29644668	25.424973	0.15818459	5.9365234
0.29834211	25.545244	0.15840285	5.9863281
0.30117631	25.701008	0.15963958	6.0361328
0.30333996	25.8519	0.16055296	6.0859375
0.30581355	26.019653	0.1614361	6.1357422
0.30993223	26.20739	0.16268861	6.1855469
0.31115115	26.313421	0.1633494	6.2353516
0.31280816	26.393742	0.16426526	6.2851563
0.31608939	26.612757	0.16504316	6.3349609
0.31851828	26.675653	0.16554151	6.3847656
0.321275	26.819088	0.16684543	6.4345703
0.32398999	26.945204	0.16748936	6.484375
0.32528341	27.125454	0.16896762	6.5341797
0.32860041	27.251673	0.1693313	6.5839844
0.32942295	27.425098	0.17104514	6.6337891
0.33293366	27.580257	0.17150229	6.6835938
0.33508837	27.691988	0.17234845	6.7333984
0.33960342	27.849648	0.17303941	6.7832031
0.34064054	28.011143	0.17475806	6.8330078
0.34238696	28.068459	0.17490323	6.8828125
0.3457725	28.322746	0.17616718	6.9326172
0.34858286	28.456938	0.17761888	6.9824219
