u,h,stress,n,hrp,hp,w,fn,ft,area,energy_ratio,E
0,30,300,0.1,46.75670266,18.7385118,169.2947268,21.50319093,5.952726889,0.020484255,0.049466966,192
0,30,300,0.2,44.61185808,16.65058114,162.101942,31.28109678,8.85048631,0.018444816,0.029854764,192
0,30,300,0.3,41.50273908,13.92032862,148.8772154,43.88925972,12.12138138,0.016149706,0.019330864,192
0,30,300,0.4,37.69187717,10.89523792,135.6234483,59.90589142,16.44381669,0.01374945,0.013770408,192
0,30,300,0.5,33.5674723,7.982819875,122.7329997,78.31125565,20.51257699,0.011959057,0.012642548,192
0,30,500,0.1,45.63646317,17.992661,166.8477572,32.58151004,9.147124926,0.019024163,0.042415977,192
0,30,500,0.2,43.11699461,15.64089097,153.6567956,43.7306956,12.21700633,0.01767188,0.024655929,192
0,30,500,0.3,40.11552478,13.33760327,147.1377909,58.06943728,15.76638082,0.015787994,0.016292352,192
0,30,500,0.4,36.45756543,10.57338774,134.132109,74.98371735,20.31887697,0.013122863,0.013140262,192
0,30,500,0.5,32.29911294,7.763144639,121.4564465,91.62843119,22.49369507,0.011583178,0.013650351,192
0,30,700,0.1,44.77957884,17.43754307,159.3730499,41.36341362,11.38392115,0.01862873,0.037254788,192
0,30,700,0.2,42.27505411,15.36758304,152.2604734,54.34340019,15.00014598,0.016834678,0.021939004,192
0,30,700,0.3,38.49704862,12.2798419,139.0986159,69.0274058,18.89756336,0.014801906,0.015145624,192
0,30,700,0.4,34.80359437,9.716978488,132.9763726,85.36648712,22.37538942,0.012988568,0.013137512,192
0,30,700,0.5,30.75733392,7.218432115,120.5828099,101.1089656,25.56654803,0.01099801,0.014396936,192
0,30,900,0.1,44.12192106,17.06637502,158.1674169,49.18359515,13.65900749,0.018097635,0.033867622,192
0,30,900,0.2,41.38804024,14.97315472,150.9540366,63.79831289,17.77640127,0.016337391,0.020257804,192
0,30,900,0.3,37.76470199,12.12892368,137.226264,78.44705658,21.15051816,0.013891357,0.014685264,192
0,30,900,0.4,33.7520412,9.23455034,124.0000251,93.6501531,24.15774117,0.01240199,0.013488673,192
0,30,900,0.5,29.27437682,6.572452603,117.2587115,107.7843803,25.92181536,0.011158231,0.014871548,192
0,30,1100,0.1,43.27932,16.66562319,156.9728285,57.02190107,16.07878688,0.01777792,0.031337169,192
0,30,1100,0.2,40.59279882,14.41931211,149.5128022,70.92455393,19.08994776,0.016041388,0.019192259,192
0,30,1100,0.3,36.91415919,11.81930198,136.1512757,86.29830144,22.97293955,0.013974592,0.014453863,192
0,30,1100,0.4,32.97445653,9.103695932,123.0541173,100.1614866,25.60698999,0.012151929,0.014309775,192
0,30,1100,0.5,28.64394337,6.51453495,110.6844023,113.3085269,27.33338757,0.010734435,0.015244619,192
0,30,1300,0.1,42.64697433,16.27724926,155.5974459,62.95342306,17.11115653,0.017259869,0.029405887,192
0,30,1300,0.2,39.2143925,13.5795033,147.243989,77.96164653,21.37171942,0.015608654,0.018406437,192
0,30,1300,0.3,36.05562001,11.40140802,135.1754628,92.4926562,24.62043699,0.013985022,0.014296646,192
0,30,1300,0.4,32.07343541,8.805819176,122.3234849,105.7909546,26.6395401,0.01213869,0.014746233,192
0,30,1300,0.5,28.08507681,6.43239975,110.1572335,117.9827929,27.88574041,0.010770539,0.015858826,192
0,30,1500,0.1,41.89952395,15.87373755,154.2569995,69.8226977,19.52205556,0.016777073,0.027868275,192
0,30,1500,0.2,38.56652407,13.32058498,140.4424682,83.87529348,23.13040263,0.015146263,0.017709054,192
0,30,1500,0.3,34.84624426,10.6826361,134.2952907,97.76926549,25.51501033,0.013815076,0.014425932,192
0,30,1500,0.4,31.43687661,8.449258162,121.7122717,110.2515531,27.94399872,0.011896386,0.015213471,192
0,30,1500,0.5,27.35528079,6.188226613,109.7598692,121.4783419,28.29056543,0.010951739,0.016370273,192
0,30,1700,0.1,41.24756654,15.45632442,153.0386582,75.919089,21.08269653,0.016193335,0.026891751,192
0,30,1700,0.2,38.11142594,13.1606093,139.4966859,89.09244919,23.92190685,0.014623427,0.01731111,192
0,30,1700,0.3,33.99830524,10.20986114,125.6509636,102.4602379,26.80832157,0.012743569,0.014718767,192
0,30,1700,0.4,30.45675531,7.971902043,121.1120305,113.9486839,28.64277058,0.01133994,0.015568872,192
0,30,1700,0.5,26.73800678,5.989868952,109.3943722,124.5144831,27.51986942,0.010813128,0.016543126,192
0,30,1900,0.1,40.13095051,14.75448966,148.2104187,80.71563873,21.98718141,0.016472695,0.025892071,192
0,30,1900,0.2,37.47069836,12.84579992,138.5926051,94.47833583,25.51103153,0.014111836,0.017042373,192
0,30,1900,0.3,33.60005716,10.17489592,125.0551417,107.1829809,27.94032504,0.012782045,0.015141463,192
0,30,1900,0.4,29.34799411,7.423186085,117.4951274,117.6877589,28.52468109,0.011492921,0.015735195,192
0,30,1900,0.5,26.09434014,5.760101931,109.065268,127.2657936,28.72700939,0.010649816,0.016697126,192
