

Data
Lateral(mm),Raw(µm),,
0,-0.243023908393383,,
0.000982727706432343,-0.247164523789883,,
0.00196545541286469,-0.246059436814785,,
0.00294818305969238,-0.232693557853699,,
0.00393091082572937,-0.244965376410484,,
0.00491363859176636,-0.24763857429266,,
0.00589636611938477,-0.251537359871864,,
0.00687909412384033,-0.288050385606289,,
0.00786182165145874,-0.321295717458725,,
0.00884454917907715,-0.305737005164623,,
0.00982727718353272,-0.288835794069767,,
0.0108100051879883,-0.259617921802998,,
0.0117927322387695,-0.265407405312061,,
0.0127754602432251,-0.301562058291435,,
0.0137581882476807,-0.295194462168217,,
0.0147409152984619,-0.267424089636803,,
0.0157236433029175,-0.268622690768242,,
0.016706371307373,-0.274260729205608,,
0.0176890983581543,-0.271733545947075,,
0.0186718273162842,-0.266577970604897,,
0.0196545543670654,-0.284540935540199,,
0.0206372814178467,-0.264753947532177,,
0.0216200103759766,-0.27843295165062,,
0.0226027374267578,-0.279641530079842,,
0.0235854644775391,-0.287023073692322,,
0.0245681934356689,-0.269288003492355,,
0.0255509204864502,-0.245645102832317,,
0.0265336475372314,-0.219754548926353,,
0.0275163764953613,-0.217499090561867,,
0.0284991035461426,-0.218853517940044,,
0.0294818305969238,-0.207487424485683,,
0.0304645595550537,-0.209566126368046,,
0.031447286605835,-0.234435884897709,,
0.0324300155639648,-0.220389156608582,,
0.0334127426147461,-0.225790206611156,,
0.0343954696655273,-0.238304370417595,,
0.0353781967163086,-0.226582647044659,,
0.0363609237670898,-0.210110846328735,,
0.0373436546325684,-0.23621031601429,,
0.0383263816833496,-0.249516275963783,,
0.0393091087341309,-0.2468175273633,,
0.0402918357849121,-0.251624191815853,,
0.0412745628356934,-0.235492889397144,,
0.0422572898864746,-0.213101808259487,,
0.0432400207519531,-0.203070555753708,,
0.0442227478027344,-0.20237501660347,,
0.0452054748535156,-0.197442899596691,,
0.0461882019042969,-0.195741420567036,,
0.0471709289550781,-0.19059985394001,,
0.0481536560058594,-0.196604751358032,,
0.0491363868713379,-0.185846812860966,,
0.0501191139221191,-0.179721543579102,,
0.0511018409729004,-0.173064845128059,,
0.0520845680236816,-0.162832426736355,,
0.0530672950744629,-0.167099249427319,,
0.0540500221252441,-0.143699356715679,,
0.0550327529907227,-0.124501599934101,,
0.0560154800415039,-0.147501857689619,,
0.0569982070922852,-0.155083048503399,,
0.0579809341430664,-0.142196558451653,,
0.0589636611938477,-0.145609558237791,,
0.0599463882446289,-0.16503063529253,,
0.0609291191101074,-0.187326214177608,,
0.0619118461608887,-0.193865375642777,,
0.0628945732116699,-0.173325064835548,,
0.0638773002624512,-0.176669594955444,,
0.0648600311279297,-0.175202582423687,,
0.0658427581787109,-0.183145910489559,,
0.0668254852294922,-0.167878840868473,,
0.0678082122802734,-0.179045406775475,,
0.0687909393310547,-0.17970727714777,,
0.0697736663818359,-0.169806300170422,,
0.0707563934326172,-0.169633869638443,,
0.0717391204833984,-0.18635508439064,,
0.0727218475341797,-0.202804040408134,,
0.0737045745849609,-0.226083892605305,,
0.0746873092651367,-0.255853056595325,,
0.075670036315918,-0.253402470266819,,
0.0766527633666992,-0.248855657355785,,
0.0776354904174805,-0.257952283730507,,
0.0786182174682617,-0.248928775117397,,
0.079600944519043,-0.24031490637064,,
0.0805836715698242,-0.240352496116161,,
0.0815663986206055,-0.247629591042995,,
0.0825491256713867,-0.250665726938248,,
0.083531852722168,-0.25810792589426,,
0.0845145797729492,-0.272289274070263,,
0.0854973068237305,-0.299221314280033,,
0.0864800415039063,-0.301181926927567,,
0.0874627685546875,-0.314620242543221,,
0.0884454956054688,-0.289643955190182,,
0.08942822265625,-0.311980345273018,,
0.0904109497070313,-0.30530833111763,,
0.0913936767578125,-0.289435923008919,,
0.0923764038085938,-0.287832670660019,,
0.093359130859375,-0.285528227813244,,
0.0943418579101563,-0.266803380219936,,
0.0953245849609375,-0.268273466937542,,
0.0963073120117188,-0.256708508634567,,
0.0972900466918945,-0.254315116889477,,
0.0982727737426758,-0.240257951095104,,
0.099255500793457,-0.237973333985806,,
0.100238227844238,-0.254411650006771,,
0.10122095489502,-0.239323122472763,,
0.102203681945801,-0.201756645040512,,
0.103186408996582,-0.183250635299683,,
0.104169136047363,-0.185820304911137,,
0.105151863098145,-0.182461048152447,,
0.106134590148926,-0.185887992224693,,
0.107117317199707,-0.201052509214878,,
0.108100044250488,-0.194271112949848,,
0.109082778930664,-0.200461639649868,,
0.110065505981445,-0.198639070832729,,
0.111048233032227,-0.194099087400436,,
0.112030960083008,-0.194976095557213,,
0.113013687133789,-0.194952496118546,,
0.11399641418457,-0.19811364276886,,
0.114979141235352,-0.208886731295586,,
0.115961868286133,-0.208779484548569,,
0.116944595336914,-0.216246847648621,,
0.117927322387695,-0.183337596101761,,
0.118910049438477,-0.143288934496641,,
0.119892776489258,-0.14119312210083,,
