MTS793|BTW|ENU|1|2|.|/|:|1|0|1|A

Data Header:						Time:	234.34961	s	9/20/2023 16:51:36
Data Acquisition:	Timed
Station Name:	319.25 w ext_strain.cfg
Test File Name:	Untitled test
Axial Displacement	Axial Force	Axial Strain	Time
mm	kN	%	s
0.0027775764	0.06432005	-0.0010688214	0.061523438
0.0043869019	0.31195766	0.00097968592	0.11132813
0.0080257654	0.70784241	0.0035789085	0.16113281
0.0087797642	0.96430469	0.004737454	0.2109375
0.013941526	1.2652124	0.007193991	0.26074219
0.016403198	1.5697523	0.008716885	0.31054688
0.016796589	1.7810845	0.01014854	0.36035156
0.02091527	2.0569215	0.011467643	0.41015625
0.023025274	2.3350782	0.013371642	0.45996094
0.025203824	2.601681	0.015145111	0.50976563
0.026777387	2.8338273	0.015884396	0.55957031
0.03066659	3.0884395	0.017960614	0.609375
0.032818317	3.3923237	0.019883873	0.65917969
0.035879016	3.6755378	0.021481551	0.70898438
0.037896633	3.9164681	0.023055432	0.75878906
0.040221214	4.1924553	0.024579223	0.80859375
0.043031573	4.4481077	0.026190106	0.85839844
0.04401207	4.6462951	0.027857078	0.90820313
0.04619658	4.8781757	0.028373223	0.95800781
0.049030781	5.0353837	0.029705115	1.0078125
0.051608682	5.3590441	0.030762903	1.0576172
0.053536892	5.5775003	0.03277367	1.1074219
0.056010485	5.8597641	0.034403585	1.1572266
0.058466196	6.1486835	0.036601853	1.2070313
0.062528253	6.46738	0.038463175	1.2568359
0.064826012	6.7268677	0.039933346	1.3066406
0.068208575	7.0247054	0.042236947	1.3564453
0.070467591	7.248899	0.042965565	1.40625
0.072562695	7.5905905	0.045118518	1.4560547
0.074875355	7.8554425	0.046573687	1.5058594
0.077459216	8.0967941	0.048515975	1.5556641
0.081178546	8.3469076	0.049694553	1.6054688
0.082421303	8.5857315	0.050999131	1.6552734
0.085675716	8.8631487	0.05247052	1.7050781
0.087291002	9.0587292	0.054363847	1.7548828
0.089558959	9.3300285	0.055351339	1.8046875
0.092822313	9.5423222	0.056915697	1.8544922
0.095611811	9.7994289	0.058418959	1.9042969
0.097259879	10.064391	0.060263246	1.9541016
0.10065734	10.255745	0.061263353	2.0039063
0.10256767	10.584508	0.063373245	2.0537109
0.10630488	10.816234	0.064836137	2.1035156
0.10571182	11.03555	0.066768147	2.1533203
0.10885298	11.238347	0.067228869	2.203125
0.11232197	11.548079	0.069353029	2.2529297
0.11556149	11.805331	0.071221925	2.3027344
0.1170069	12.018416	0.072520897	2.3525391
0.12160838	12.250794	0.073372453	2.4023438
0.12233853	12.485589	0.075532325	2.4521484
0.12460649	12.732662	0.07675688	2.5019531
0.12737513	12.941801	0.077440709	2.5517578
0.12984276	13.16299	0.079485983	2.6015625
0.13309121	13.404312	0.080600321	2.6513672
0.13547242	13.670492	0.082316749	2.7011719
0.13753772	13.86599	0.083911754	2.7509766
0.13975203	14.116678	0.084882587	2.8007813
0.14151037	14.351215	0.086959399	2.8505859
0.14562011	14.672215	0.08845143	2.9003906
0.14729798	14.824789	0.089684382	2.9501953
0.15056431	15.111585	0.091097832	3
0.15446842	15.349222	0.092604883	3.0498047
0.15542805	15.531604	0.093206875	3.0996094
0.15638173	15.785806	0.095157705	3.1494141
0.16066432	16.024204	0.097179435	3.1992188
0.16262531	16.258299	0.098060027	3.2490234
0.16515553	16.455048	0.099150605	3.2988281
0.16803741	16.697044	0.1008234	3.3486328
0.17008781	16.891685	0.10160439	3.3984375
0.17249584	17.141356	0.10367524	3.4482422
0.17620325	17.309076	0.10462283	3.4980469
0.17713904	17.538683	0.10603748	3.5478516
0.18206537	17.77298	0.10732917	3.5976563
0.18296242	17.987265	0.10855425	3.6474609
0.18635988	18.236378	0.11049102	3.6972656
0.18883646	18.41761	0.11078425	3.7470703
0.18981099	18.558052	0.11228997	3.796875
0.19320846	18.788355	0.11325113	3.8466797
