MTS793|BTW|ENU|1|2|.|/|:|1|0|1|A

Data Header:						Time:	307.32324	s	9/20/2023 16:44:17
Data Acquisition:	Timed
Station Name:	319.25 w ext_strain.cfg
Test File Name:	Untitled test
Axial Displacement	Axial Force	Axial Strain	Time
mm	kN	%	s
8.3446503e-05	0.066816576	0.001222712	0.059570313
0.0047981739	0.40632766	0.0031758072	0.109375
0.0062078238	0.63678366	0.0047101886	0.15917969
0.0090479851	0.97808123	0.0060689338	0.20898438
0.0098794699	1.2460223	0.008159399	0.25878906
0.012943149	1.6068227	0.010297712	0.30859375
0.015753508	1.7873393	0.011801506	0.35839844
0.018572807	2.1227477	0.013182573	0.40820313
0.020799041	2.3750134	0.015087807	0.45800781
0.022238493	2.657275	0.016767494	0.5078125
0.025272369	2.9341908	0.019225478	0.55761719
0.02874732	3.174058	0.019614644	0.60742188
0.029811263	3.4351239	0.021199299	0.65722656
0.032925606	3.7248073	0.024284368	0.70703125
0.035852194	4.0450826	0.025325246	0.75683594
0.038349628	4.2926135	0.026771566	0.80664063
0.038707256	4.4679236	0.027831824	0.85644531
0.041431189	4.7413754	0.029065356	0.90625
0.045099854	4.9895716	0.030643109	0.95605469
0.047382712	5.1693177	0.033096194	1.0058594
0.049507618	5.3766546	0.033694737	1.0556641
0.052344799	5.6233282	0.034221828	1.1054688
0.055038929	5.9413581	0.036219086	1.1552734
0.056174397	6.1935825	0.037738115	1.2050781
0.058540702	6.4271092	0.039787076	1.2548828
0.063300133	6.7503901	0.041181058	1.3046875
0.06660223	7.0754347	0.043325029	1.3544922
0.069785118	7.4121609	0.04508983	1.4042969
0.070843101	7.6053052	0.046275139	1.4541016
0.074404478	7.9854217	0.048907373	1.5039063
0.075802207	8.2161379	0.050139643	1.5537109
0.078800321	8.4310341	0.051874295	1.6035156
0.082305074	8.6884212	0.053033262	1.6533203
0.083917379	8.9693623	0.055002678	1.703125
0.085949898	9.17451	0.056570109	1.7529297
0.088953972	9.4600725	0.057515875	1.8027344
0.090515614	9.7411032	0.060219444	1.8525391
0.093254447	9.954607	0.060604587	1.9023438
0.094878674	10.222901	0.062212512	1.9521484
0.098583102	10.470701	0.063849956	2.0019531
0.1006186	10.672481	0.065500066	2.0517578
0.1036346	10.983153	0.067297444	2.1015625
0.10688305	11.24274	0.06847439	2.1513672
0.10846257	11.385215	0.069643892	2.2011719
0.11152625	11.669024	0.071126267	2.2509766
0.11336803	11.958342	0.072862282	2.3007813
0.11514127	12.173901	0.073835403	2.3505859
0.11870563	12.448771	0.075875372	2.4003906
0.119555	12.67524	0.077144593	2.4501953
0.12316406	12.940446	0.078592703	2.5
0.12623668	13.178961	0.079958133	2.5498047
0.12994707	13.445366	0.081846431	2.5996094
0.13030171	13.627357	0.082805417	2.6494141
0.13229251	13.880944	0.084346026	2.6992188
0.13564825	14.139213	0.08616899	2.7490234
0.13865232	14.380048	0.087514095	2.7988281
0.14154911	14.613061	0.088351019	2.8486328
0.14453828	14.93305	0.091048501	2.8984375
0.14658868	15.176132	0.092394799	2.9482422
0.1490891	15.358796	0.093438499	2.9980469
0.15245378	15.662422	0.095649213	3.0478516
0.15409589	15.876947	0.096683905	3.0976563
0.15665591	16.132324	0.09802375	3.1474609
0.15953481	16.362352	0.099704534	3.1972656
0.16208291	16.55023	0.10071116	3.2470703
0.16300976	16.765694	0.10197513	3.296875
0.16622543	16.998116	0.1033881	3.3466797
